54.211, 90.001, 49.549, 94.425, 83.025, 39.420, 54.818, 31.472, 99.109, 55.246, 
1.028, 12.264, 69.737, 71.474, 36.068, 61.931, 66.499, 65.555, 67.494, 80.053, 
16.971, 34.505, 44.694, 2.023, 77.983, 71.766, 30.828, 6.177, 96.059, 15.846, 
74.854, 64.160, 64.002, 54.767, 7.737, 27.765, 91.725, 73.956, 16.316, 81.929, 
84.103, 29.455, 93.338, 70.609, 58.969, 13.191, 22.793, 19.965, 44.348, 52.530, 
35.980, 41.518, 65.561, 52.457, 65.606, 96.949, 70.087, 45.460, 32.745, 45.709, 
40.878, 61.563, 24.642, 76.788, 17.274, 68.934, 60.092, 46.815, 76.768, 64.115, 
93.545, 8.076, 30.553, 10.150, 79.088, 12.065, 51.146, 30.769, 1.102, 16.906, 
81.299, 69.243, 79.684, 10.237, 70.037, 11.675, 75.773, 83.105, 43.829, 56.199, 
53.492, 54.955, 48.755, 81.942, 5.323, 54.983, 92.978, 34.579, 9.510, 10.906, 77.924, 
98.945, 68.504, 82.662, 31.249, 73.371, 72.245, 5.552, 45.057, 95.314, 40.744, 
75.071, 78.734, 93.313, 26.703, 13.924, 7.379, 56.420, 0.787, 10.682, 84.020, 
19.007, 99.684, 9.072, 36.605, 56.195, 90.258, 57.066, 39.266, 73.151, 91.835, 
95.747, 81.375, 50.111, 3.079, 79.344, 7.674, 74.221, 99.928, 69.890, 18.055, 
49.150, 6.708, 42.618, 96.540, 23.931, 93.801, 71.523, 85.594, 23.580, 22.154, 
38.452, 34.097, 95.794, 37.425, 23.595, 25.153, 10.387, 14.706, 90.489, 33.353, 
61.118, 68.541, 74.381, 70.203, 23.169, 72.344, 19.275, 51.127, 13.768, 76.334, 
86.006, 57.795, 88.338, 73.782, 71.373, 75.477, 80.005, 41.581, 36.667, 56.706, 
56.443, 73.094, 42.842, 99.743, 24.755, 28.735, 29.141, 33.168, 62.455, 52.868, 
52.162, 66.382, 90.614, 44.405, 23.144, 99.873, 33.831, 22.863, 42.681, 88.826, 
30.934, 1.664, 34.135, 18.970, 70.197, 66.098, 19.666, 84.537, 23.304, 54.660, 
66.133, 54.747, 43.466, 59.340, 52.023, 77.495, 74.764, 92.976, 71.118, 96.704, 
92.228, 19.944, 93.790, 53.287, 55.079, 10.182, 52.619, 98.728, 9.237, 55.991, 
5.448, 75.029, 19.392, 86.045, 56.036, 5.054, 45.819, 21.682, 80.160, 93.309, 
6.601, 46.851, 13.300, 58.740, 82.040, 4.941, 4.991, 8.359, 24.768, 93.277, 34.434, 
13.337, 36.446, 99.179, 12.203, 67.653, 59.906, 10.282, 63.597, 93.471, 14.226, 
36.173, 0.699, 7.145, 69.460, 98.464, 42.191, 75.035, 17.597, 82.013, 32.684, 
69.344, 46.820, 91.332, 46.609, 80.693, 67.265, 23.065, 35.643, 56.425, 68.179, 
47.959, 93.200, 11.403, 8.779, 93.917, 64.689, 1.584, 58.084, 35.447, 28.030, 
59.660, 2.601, 24.246, 5.379, 66.846, 34.995, 40.684, 44.016, 75.157, 21.734, 
6.562, 22.067, 0.514, 23.178, 75.826, 93.014, 78.583, 5.718, 11.793, 81.867, 
12.475, 42.272, 66.962, 85.439, 44.238, 44.847, 4.650, 9.323, 50.564, 10.847, 
40.424, 94.991, 97.189, 93.404, 35.739, 51.838, 86.182, 25.289, 46.179, 11.067, 
95.657, 35.771, 12.354, 60.965, 42.380, 0.333, 82.774, 6.443, 94.347, 54.222, 
74.926, 19.620, 22.605, 82.579, 13.273, 12.792, 9.415, 72.241, 31.069, 70.304, 
23.321, 73.312, 86.643, 21.628, 30.783, 72.182, 24.174, 24.411, 38.694, 21.961, 
4.052, 53.250, 52.502, 11.104, 38.510, 57.701, 90.551, 76.525, 94.513, 61.257, 
16.867, 83.615, 67.784, 22.010, 41.829, 2.282, 89.344, 65.228, 92.980, 5.540, 
99.116, 28.282, 76.689, 5.127, 9.892, 29.126, 35.481, 17.255, 89.368, 80.999, 
55.524, 20.855, 7.966, 28.022, 94.131, 30.500, 35.803, 69.088, 78.052, 56.722, 
23.451, 70.702, 69.962, 67.519, 68.006, 43.378, 12.699, 96.608, 48.529, 70.747, 
38.696, 66.333, 13.032, 35.693, 75.471, 
